"EIN","Organization Name","Address","City","State","Zip","Total Revenue - Current Year","Total Functional Expenses","Total Liabilities: End of Year","Total Assets: End of Year","Number of Employees Reported on Form W-3","Net Assets","National Taxonomy of Exempt Entities Short Description","Type of 990 Form Filed","Fiscal Year End","National Taxonomy of Exempt Entities Full Description","Point Source","Selected Location"
"27-3618086","Saint Teresa of Calcutta Parish Collingswood NJ","809 Park Ave","COLLINGSWOOD","NJ","8108","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"27-3713280","Redeemed Christian Church of God Household of God Parish","4101 Marlton Pike","PENNSAUKEN","NJ","8109","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"27-3885388","Sandra Coleman Ministries","1801 LAUREL RD UNIT 501","LINDENWOLD","NJ","8021","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"27-3916731","Christ the Redeemer Parish Atco NJ","318 Carl Hasselhan Dr","ATCO","NJ","8004","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"27-4192382","Iglesia Pentecostal Tabernaculo De Adoracion Inc","1045 Bergen Ave","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"27-4715090","Ephiphany Fellowship of Camden NJ","PO Box 465","CAMDEN","NJ","8101","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"27-4859779","Dong San Presbyterian Church Inc","20 Kings Hwy E","HADDONFIELD","NJ","8033","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"31-1619133","Living Hope Christian Center Inc","PO Box 212","PENNSAUKEN","NJ","8110","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"31-6006190","Martin Luther Christian School","RR 130 Terrace","PENNSAUKEN","NJ","8109","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"32-0015542","Korean Bethel Presbyterian Church","800 Pennsylvania Ave","CHERRY HILL","NJ","8002","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"32-0046078","First Baptist Church Cemetery","124 Kings Hwy E","HADDONFIELD","NJ","8033","","","","","","","Mutual/Membership Benefit Organizations, Other","Nonfilers","","Cemeteries and Burial Services","Candid","Camden (County, 2022)"
"32-0150727","New Covenant Worship Center Inc","3 Bridle Ct","CHERRY HILL","NJ","8003","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"32-0259566","Words for Life Ministries Christian Center","19 Orlando Dr","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"32-0304512","King of Kings Community Church of Pennsauken NJ of the Christian And","5501 Lexington Ave","PENNSAUKEN","NJ","8109","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"33-1012832","Breaking the Barriers Ministry Inc","PO Box 1173","MERCHANTVILLE","NJ","8109","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Management & Technical Assistance","Candid","Camden (County, 2022)"
"35-1141415","Southside Baptist Church of Indianapolis Inc","715 W Greenwood Rd","HADDOFIELD","NJ","8033","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"35-1592095","Life in Christ Ministries Incorporated","7201 Westfield Ave","PENNSAUKEN","NJ","8110","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"35-2376046","Philadelphia Yearly Meeting of Friends","47 N Haddon Ave","HADDONFIELD","NJ","8033","","","","","","","Education","Nonfilers","","Education N.E.C.","Candid","Camden (County, 2022)"
"35-2471041","New Beginings Family Worship Center Inc","995 Kingston Dr","CHERRY HILL","NJ","8034","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"36-2327274","International Council of Christian Churches","801 Haddon Ave","COLLINGSWOOD","NJ","8108","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"36-4243318","Eben-Ezer Pentecostal Church","3212 Arborwood Iii","CLEMENTON","NJ","8021","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"36-4712425","Iglesia Casa Del Proveedor Inc","3541 Pennsylvania Ave","PENNSAUKEN","NJ","8109","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"37-1430304","Temple of Intersession","152 Warwick Rd N Apt A","LAWNSIDE","NJ","8045","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"37-1495992","Delaware Valley Islamic Center","1601 Lawncrest Ln","CLEMENTON","NJ","8021","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Islamic","Candid","Camden (County, 2022)"
"37-1744490","Nauw Southern New Jersey Branch","PO Box 164","CAMDEN","NJ","8101","","","","","","","","Nonfilers","","","Candid","Camden (County, 2022)"
"38-3786042","St James Christian Church A Full Gospel Ministry","PO Box 512","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"40-0547200","High Place Church Inc","1720 Marlton Pike E Ste 1","CHERRY HILL","NJ","8003","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"41-2085446","Sicklerville Worship Center","PO Box 951","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"42-1687586","Iglesia Casa De Restauracion Y Sanidad Inc","3768 King Ave","PENNSAUKEN","NJ","8110","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"42-1687821","Igl De Dios Pentecostal Libertando Almas Para Cristo Inc","1244 Jackson St","CAMDEN","NJ","8104","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"43-2093188","Abundant Harvest Worship Center Inc","738 Cooper Landing Rd","CHERRY HILL","NJ","8002","","","","","","","Food, Agriculture, and Nutrition","Nonfilers","","Food Service, Free Food Distribution Programs","Candid","Camden (County, 2022)"
"43-2097037","Global Heart Spiritual Center","148 Mansfield Blvd N","CHERRY HILL","NJ","8034","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"43-2114523","Serenity Christian Worship Center","3555 Haddonfield Rd Ste B","PENNSAUKEN","NJ","8109","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"45-1495953","St Joachim Parish Bellmawr NJ","601 W Browning Rd","BELLMAWR","NJ","8031","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"45-1678800","Gods Power House","129 Golden Meadow Ln","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"45-2118502","North Camden Little League","113 State St","CAMDEN","NJ","8102","","","","","","","Youth Development","Nonfilers","","Youth Development Programs","Candid","Camden (County, 2022)"
"45-2991296","Soup and Sandwhich for the Soul","1309 S 10th St","CAMDEN","NJ","8104","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"45-2992532","Covenant of Hope","1309 S 10th St","CAMDEN","NJ","8104","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"45-3581226","St Joseph the Worker Parish Haddon Township NJ","901 Hopkins Rd Ste A","HADDONFIELD","NJ","8033","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"45-3986448","Most Precious Blood Parish Collingswood NJ","445 White Horse Pike","WEST COLLINGSWOOD","NJ","8107","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"45-4150965","Iglesia Cristiana El Poder De Dios En Accion Inc","303 BLACKWOOD CLEMENTON RD","LINDENWOLD","NJ","8021","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"46-0554727","Word of Truth International Ministry-Missions","1 Harned Ave Apt K8","SOMERDALE","NJ","8083","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"46-1614131","Family Worship Center of New Jersey A NJ Non Profit Corporation","333 Preston Ave","VOORHEES","NJ","8043","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"46-1974859","Masterpiece International Church Incorporated","63 Old Orchard Dr","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"46-2064134","Abounding Faith Christian Fellowship","300 E Evesham Ave","MAGNOLIA","NJ","8049","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"46-2179013","Iglesia Arca De Refugio","552 N 27TH ST","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"46-2201886","Jersey Life Church Inc","201 S WHITE HORSE PIKE","AUDUBON","NJ","8106","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"46-2380569","Iglesia De Dios Pentecostal Camino A Emaus Inc","2404 45th St","PENNSAUKEN","NJ","8110","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"46-2880011","Lawnside Fire Company No 1","4 N DOUGLAS AVE","LAWNSIDE","NJ","8045","","","","","","","Public Safety","Nonfilers","","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"46-3892778","New Light Church of God","6 Hudson Ct","SOMERDALE","NJ","8083","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"46-4820774","Restoration Worship Center Inc","27 Gerry Ln","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"46-5125877","Community Impact Corporation","2323 Route 73","PENNSAUKEN","NJ","8110","","","","","","","Human Services - Multipurpose and Other","Nonfilers","","Human Service Organizations","Candid","Camden (County, 2022)"
"46-5320134","Precious Children","416 SICKLERVILLE RD STE 20","SICKLERVILLE","NJ","8081","","","","","","","Human Services - Multipurpose and Other","Nonfilers","","Children's and Youth Services","Candid","Camden (County, 2022)"
"46-5482465","Kingdom Life Fellowship Inc","PO Box 308","VOORHEES","NJ","8043","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"46-5521252","House of David Ministries","821 Liberty Dr","SOMERDALE","NJ","8083","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"46-5741035","New Life in Christ Holistic Ministries","321 Jfk Blvd","LAWNSIDE","NJ","8045","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Professional Societies, Associations","Candid","Camden (County, 2022)"
"47-0942010","Baptist Regional School Inc","300 Station Ave","HADDON HEIGHTS","NJ","8035","","","","","","","Education","Nonfilers","","Elementary, Secondary Ed","Candid","Camden (County, 2022)"
"47-1512779","Grandiosity Aloud Inc","7 Cowpath Ct","SICKLERVILLE","NJ","8081","","","","","","","Human Services - Multipurpose and Other","Nonfilers","","Services to Promote the Independence of Specific Populations","Candid","Camden (County, 2022)"
"47-2665497","Emmanuel Bible Ministries Inc","5224 Martton Pk Lot 58","PENNASAUKEN","NJ","8109","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"47-3198292","Renaissance Church Ministries Inc","PO Box 893","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"47-3537272","Camden County Warriors Public Safety Ice Hockey Team","528 W Graisbury Ave","AUDUBON","NJ","8106","","","","","","","Recreation, Sports, Leisure, Athletics","Nonfilers","","Amateur Sports Clubs, Leagues, N.E.C.","Candid","Camden (County, 2022)"
"47-4151737","Swaminarayan Mandir Vasna Sanstha Inc","99 Burnt Mill Rd","CHERRY HILL","NJ","8003","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Hindu","Candid","Camden (County, 2022)"
"47-4151924","Smvs Operations Inc","99 Burnt Mill Rd","CHERRY HILL","NJ","8003","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Hindu","Candid","Camden (County, 2022)"
"47-5394371","Victorious Faith Christian Center","20 E Taunton Rd Ste 303","BERLIN","NJ","8009","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"47-5577051","Diocese of Camden Healthcare Foundation Inc","631 Market St","CAMDEN","NJ","8102","","","","","","","Health","Nonfilers","","Community Health Systems","Candid","Camden (County, 2022)"
"47-5629463","Fervent Prayer Ministry","430 W Browning Rd Apt B3","BELLMAWR","NJ","8031","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"51-0108312","Fairwinds Baptist Church","201 S White Horse Pike","AUDUBON","NJ","8106","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
"51-0137763","Living Faith Community Methodist Church","279 New Brooklyn Rd","BLACKWOOD","NJ","8012","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Protestant","Candid","Camden (County, 2022)"
"51-0184450","Church of the Living God in Christ Jesus","712 S 3rd St","CAMDEN","NJ","8103","","","","","","","Religion Related, Spiritual Development","Nonfilers","","Christian","Candid","Camden (County, 2022)"
